Date,BT,BT%,Dollar,Dollar%,GPUvendor,Btben,Oilprice
2023-02-11,182070 ,0.010400 ,107830 ,0.008500 ,41006000 ,18,88.06
2023-02-10,352790 ,-0.007200 ,106930 ,0.002200 ,61258000 ,18,86.83
2023-02-09,425440 ,-0.051000 ,106690 ,0.003900 ,50007000 ,18,91.04
2023-02-08,289120 ,-0.012300 ,106280 ,-0.001200 ,67263000 ,18,91.05
2023-02-07,318980 ,0.021500 ,106400 ,-0.002400 ,43282000 ,18,87.18
2023-02-06,278580 ,-0.007600 ,106660 ,0.003500 ,48634000 ,18,89.8
2023-02-05,217260 ,-0.016600 ,106290 ,-0.017700 ,52104000 ,18,92.34
2023-02-04,170270 ,-0.004600 ,108210 ,-0.021200 ,58311000 ,18,92.92
2023-02-03,349360 ,0.000200 ,110550 ,0.008300 ,53295000 ,18,92.31
2023-02-02,382860 ,-0.012600 ,109640 ,-0.004400 ,50548000 ,18,89.83
2023-02-01,333180 ,0.026000 ,110120 ,-0.006800 ,51746000 ,18,91.02
2023-01-31,289380 ,0.012800 ,110880 ,-0.018200 ,60949000 ,0,91.44
2023-01-30,339620 ,-0.038800 ,112930 ,0.014200 ,65240000 ,0,90.64
2023-01-29,320860 ,0.031500 ,111350 ,-0.001200 ,52313000 ,0,92.66
2023-01-28,156960 ,-0.002000 ,111480 ,-0.000400 ,65936000 ,0,92.4
2023-01-27,310360 ,0.002500 ,111530 ,0.007000 ,58077000 ,0,90.39
2023-01-26,320970 ,-0.001700 ,110750 ,0.001500 ,71343000 ,0,89.6
2023-01-25,388180 ,0.018700 ,110590 ,0.008100 ,85010000 ,0,-
2023-01-24,334170 ,-0.012300 ,109700 ,-0.011300 ,49259000 ,0,90.74
2023-01-23,327850 ,0.009100 ,110950 ,-0.009300 ,66748000 ,0,89.89
2023-01-22,280640 ,-0.003000 ,111990 ,-0.000200 ,69870000 ,0,85.79
2023-01-21,382690 ,0.004300 ,112010 ,-0.007700 ,67248000 ,0,88.85
2023-01-20,373740 ,0.075700 ,112880 ,-0.000900 ,64416000 ,0,89.69
2023-01-19,275760 ,0.019900 ,112980 ,0.007600 ,50713000 ,0,92.12
2023-01-18,388670 ,-0.022100 ,112130 ,0.000800 ,58418000 ,0,91.19
2023-01-17,310040 ,-0.002200 ,112040 ,-0.011200 ,54748000 ,0,92.95
2023-01-16,337460 ,0.014600 ,113310 ,0.008400 ,56564000 ,0,93.73
2023-01-15,205800 ,-0.003700 ,112360 ,-0.008400 ,53276000 ,0,96.51
2023-01-14,458210 ,0.051700 ,113320 ,0.000900 ,54241000 ,0,94.36
2023-01-13,426670 ,0.057100 ,113220 ,0.000700 ,55385000 ,0,93.31
2023-01-12,522010 ,0.050700 ,113140 ,0.003100 ,54734000 ,0,91.22
2023-01-11,291530 ,0.028900 ,112790 ,0.004800 ,66331000 ,0,88.82
2023-01-10,247140 ,0.015100 ,112260 ,0.010700 ,75916000 ,0,88.28
2023-01-09,301240 ,0.003600 ,111070 ,0.009200 ,80768000 ,0,89.51
2023-01-08,144840 ,0.010400 ,110070 ,-0.015000 ,52482000 ,0,87.33
2023-01-07,110480 ,-0.000400 ,111750 ,-0.003300 ,56969000 ,0,84.66
2023-01-06,233470 ,0.007200 ,112120 ,-0.001200 ,67075000 ,0,84.25
2023-01-05,178960 ,-0.001300 ,112250 ,-0.003100 ,52363000 ,0,84.89
2023-01-04,247390 ,0.010700 ,112600 ,-0.013200 ,58851000 ,0,88.82
2023-01-03,178730 ,0.000000 ,114110 ,0.000000 ,71496000 ,0,91.21
2023-01-02,136030 ,0.003400 ,114100 ,0.008000 ,48416000 ,0,92.77
2023-01-01,107840 ,0.004900 ,113190 ,0.016500 ,48713000 ,0,92.59
2022-12-31,130440 ,-0.004200 ,111350 ,0.006400 ,62487000 ,0,90.36
2022-12-30,192760 ,-0.001800 ,110640 ,0.003900 ,51266000 ,0,91.04
2022-12-29,181470 ,0.005500 ,110210 ,0.004400 ,53575000 ,0,93.66
2022-12-28,217960 ,-0.009600 ,109740 ,-0.000200 ,74316000 ,0,92.73
2022-12-27,192180 ,-0.012500 ,109760 ,0.000200 ,117887000 ,0,94.5
2022-12-26,133360 ,0.005100 ,109740 ,0.000700 ,57371000 ,0,92.42
2022-12-25,132890 ,-0.000300 ,109660 ,-0.001400 ,53018000 ,0,90.45
2022-12-24,110120 ,0.003500 ,109820 ,0.013700 ,49613000 ,0,88.06
2022-12-23,184120 ,-0.002500 ,108330 ,-0.006200 ,76913000 ,0,92.27
2022-12-22,198280 ,-0.000700 ,109000 ,-0.006400 ,77069000 ,0,95.25
2022-12-21,174340 ,-0.004200 ,109710 ,-0.001200 ,52266000 ,0,95.38
2022-12-20,284570 ,0.028100 ,109840 ,-0.003400 ,36999000 ,0,94.74
2022-12-19,207930 ,-0.017900 ,110210 ,0.003500 ,40959000 ,0,93.99
2022-12-18,124290 ,-0.002100 ,109830 ,0.002700 ,44159000 ,0,97.88
2022-12-17,164490 ,0.008900 ,109530 ,-0.001400 ,41545000 ,0,102.84
2022-12-16,303560 ,-0.041900 ,109690 ,0.009100 ,44680000 ,0,100.21
2022-12-15,263440 ,-0.024700 ,108700 ,-0.000700 ,45124000 ,0,99.68
2022-12-14,318980 ,0.001000 ,108770 ,-0.000600 ,45767000 ,0,99.92
2022-12-13,328710 ,0.033000 ,108830 ,0.000300 ,47809000 ,0,99.54
2022-12-12,249390 ,0.006800 ,108800 ,0.003100 ,50933000 ,0,96.54
2022-12-11,167200 ,-0.002000 ,108470 ,-0.001900 ,59742000 ,0,93.97
2022-12-10,148810 ,0.000100 ,108680 ,0.000500 ,66826000 ,0,94.36
2022-12-09,260840 ,-0.005800 ,108620 ,-0.003900 ,98378000 ,0,92.85
2022-12-08,261640 ,0.023200 ,109050 ,0.008100 ,38607000 ,0,90.45
2022-12-07,244360 ,-0.014900 ,108170 ,0.006400 ,40965000 ,0,92.12
2022-12-06,246190 ,0.007200 ,107480 ,0.008500 ,41815000 ,0,94.6
2022-12-05,268720 ,-0.008500 ,106570 ,0.000700 ,48953000 ,0,98.24
2022-12-04,197120 ,0.013500 ,106500 ,-0.000400 ,47647000 ,0,96.03
2022-12-03,169290 ,-0.012200 ,106550 ,0.008700 ,43546000 ,0,94.89
2022-12-02,227010 ,0.007200 ,105630 ,0.005100 ,47465000 ,0,-
2022-12-01,266140 ,-0.011200 ,105090 ,-0.001000 ,56978000 ,0,94.31
2022-11-30,348220 ,0.044000 ,105200 ,-0.011100 ,39786000 ,0,93.75
2022-11-29,271580 ,0.014100 ,106370 ,-0.000600 ,48075000 ,0,95.73
2022-11-28,284840 ,-0.013000 ,106430 ,-0.001700 ,53667000 ,0,98.4
