Date,BT,BT%,Dollar,Dollar%,GPUvendor,Btben,Oilprice
2023-06-02,49.37K,1.59%,101.86k,0.51%,"35,866K",0,82.79
2023-06-01,51.98K,-1.46%,101.35k,-0.47%,"60,481K",0,80.95
2023-05-31,63.08K,-1.74%,101.82k,-0.02%,"32,147K",0,80.77
2023-05-30,45.19K,-0.15%,101.84k,-0.13%,"39,566K",0,81.74
2023-05-29,54.56K,-1.18%,101.97k,0.22%,"35,362K",0,83.58
2023-05-28,55.23K,4.52%,101.75k,-0.35%,"44,626K",0,84.69
2023-05-27,18.68K,0.55%,102.1k,0.54%,"31,438K",0,85.93
2023-05-26,45.88K,0.89%,101.55k,0.54%,"39,528K",0,86.06
2023-05-25,50.17K,0.56%,101.01k,-0.48%,"39,765K",0,87.36
2023-05-24,72.65K,-3.28%,101.5k,-0.69%,"51,502K",0,85.58
2023-05-23,50.89K,1.39%,102.2k,-0.36%,"36,859K",0,84.53
2023-05-22,35.56K,0.36%,102.58k,0.48%,"39,872K",0,84.76
2023-05-21,27.42K,-1.35%,102.09k,0.27%,"43,393K",0,84.57
2023-05-20,17.72K,0.87%,101.82k,-0.03%,"36,452K",0,84.89
2023-05-19,36.67K,0.20%,101.85k,0.26%,"39,369K",0,85.08
2023-05-18,63.39K,-2.10%,101.59k,-0.50%,"35,610K",0,84.1
2023-05-17,58.14K,1.36%,102.09k,-0.40%,"36,103K",0,78.08
2023-05-16,45.29K,-0.55%,102.51k,0.35%,"45,492K",0,77.78
2023-05-15,53.27K,0.98%,102.14k,-0.48%,"56,489K",0,78.04
2023-05-14,26.35K,0.53%,102.64k,0.21%,"79,730K",0,77.89
2023-05-13,27.95K,-0.08%,102.43k,-0.42%,"54,741K",0,74.77
2023-05-12,87.49K,-0.68%,102.86k,-0.25%,"43,275K",0,75.14
2023-05-11,62.85K,-2.25%,103.12k,0.57%,"84,855K",0,76.12
2023-05-10,91.45K,-0.11%,102.53k,0.18%,"58,325K",0,74.59
2023-05-09,49.75K,-0.13%,102.35k,-0.88%,"52,449K",0,73.74
2023-05-08,85.72K,-2.65%,103.26k,-0.02%,"47,491K",0,70.31
2023-05-07,36.50K,-1.50%,103.28k,-0.41%,"42,189K",0,74.84
2023-05-06,58.94K,-2.22%,103.71k,-0.68%,"47,487K",0,73.96
2023-05-05,74.52K,2.33%,104.42k,-0.22%,"50,126K",0,77.82
2023-05-04,53.80K,-0.63%,104.65k,1.01%,"51,357K",0,79.07
2023-05-03,81.22K,1.24%,103.6k,0.00%,"51,515K",0,82.35
2023-05-02,65.33K,2.11%,103.6k,-0.94%,"43,743K",0,80.23
2023-05-01,84.36K,-4.02%,104.58k,-0.70%,"41,239K",0,81.8
2023-04-30,47.62K,0.06%,105.31k,-0.33%,"38,942K",0,81.99
2023-04-29,25.72K,-0.30%,105.66k,0.04%,"46,003K",0,84.6
2023-04-28,69.88K,-0.52%,105.61k,1.21%,"45,596K",0,84.11
2023-04-27,121.63K,3.70%,104.35k,-0.16%,"45,299K",0,83.23
2023-04-26,164.31K,0.44%,104.52k,-0.48%,"58,972K",0,82.87
2023-04-25,65.31K,2.87%,105.03k,0.52%,"111,800K",0,82.48
2023-04-24,66.74K,-0.30%,104.48k,-0.37%,"51,318K",0,81.92
2023-04-23,41.77K,-0.80%,104.87k,0.19%,"41,002K",0,82.21
2023-04-22,44.30K,2.01%,104.67k,-0.51%,"46,589K",0,82.07
2023-04-21,98.72K,-3.46%,105.21k,0.59%,"41,203K",0,80.07
2023-04-20,95.45K,-1.99%,104.6k,0.01%,"42,058K",0,80.83
2023-04-19,111.27K,-5.16%,104.58k,0.39%,"67,547K",0,81.91
2023-04-18,76.58K,3.22%,104.18k,0.31%,"47,492K",0,82.4
2023-04-17,71.90K,-2.89%,103.86k,0.00%,"55,074K",0,82.21
2023-04-16,34.48K,0.04%,103.86k,0.01%,"52,388K",0,84.03
2023-04-15,31.71K,-0.57%,103.86k,-0.06%,"55,965K",0,83.31
2023-04-14,98.38K,0.28%,103.92k,0.67%,"66,415K",0,84.91
2023-04-13,65.87K,1.68%,103.23k,-0.11%,"45,220K",0,84.43
2023-04-12,78.69K,-1.07%,103.35k,-0.28%,"42,937K",0,83.58
2023-04-11,89.38K,1.92%,103.63k,0.40%,"56,428K",0,83.23
2023-04-10,85.73K,4.64%,103.22k,-0.18%,"66,048K",0,81.93
2023-04-09,39.35K,1.38%,103.41k,-0.02%,"49,802K",0,80.46
2023-04-08,23.73K,0.11%,103.43k,-0.19%,"48,861K",0,78.36
2023-04-07,30.94K,-0.45%,103.62k,0.69%,"54,214K",0,79.77
2023-04-06,51.29K,-0.49%,102.92k,1.14%,"48,954K",0,80.9
2023-04-05,77.32K,0.03%,101.75k,0.53%,"44,954K",0,83.6
2023-04-04,64.06K,1.30%,101.22k,-0.86%,"49,620K",0,80.91
2023-04-03,98.00K,-1.41%,102.1k,-0.18%,"65,516K",0,82.63
